Experiment,Sample ID,Copies/rxn,Copies RNA/ul,Starting sample volume (ml),RNA elution volume (ul),Viral load (copies/ml),PFU (log10 PFU/mL)
8002,1-1 RNA I stock,,,,,,
8002,1-1 RNA I,9.74E+05,1.95E+05,1,30,5.84E+06,3.70E+00
8002,1-2 RNA I,3.71E+04,7.42E+03,1,30,2.23E+05,1.90E+00
8002,1-3 RNA I,2.76E+04,5.52E+03,1,30,1.66E+05,1.70E+00
8002,1-4 RNA I,1.50E+05,3.00E+04,1,30,9.00E+05,2.40E+00
8002,1-5 RNA I,6.25E+03,1.25E+03,1,30,3.75E+04,1.30E+00
8002,1-6 RNA I,9.71E+03,1.94E+03,1,30,5.83E+04,1.50E+00
8002,1-7 RNA I,4.29E+04,8.58E+03,1,30,2.57E+05,0.00E+00
8002,1-8 RNA I,5.49E+03,1.10E+03,1,30,3.29E+04,0.00E+00
8002,2-1 RNA I stock,,,,,,
8002,2-1 RNA I,2.05E+02,4.10E+01,1,30,1.23E+03,0.00E+00
8002,2-2 RNA I,1.21E+05,2.42E+04,1,30,7.26E+05,2.60E+00
8002,2-3 RNA I,1.57E+05,3.14E+04,1,30,9.42E+05,2.80E+00
8002,2-4 RNA I,4.09E+05,8.18E+04,1,30,2.45E+06,2.60E+00
8002,2-5 RNA I,1.24E+05,2.48E+04,1,30,7.44E+05,2.10E+00
8002,2-6 RNA I,7.54E+04,1.51E+04,1,30,4.52E+05,0.00E+00
8002,2-7 RNA I,5.92E+03,1.18E+03,1,30,3.55E+04,0.00E+00
8002,2-8 RNA I,1.95E+04,3.90E+03,1,30,1.17E+05,0.00E+00
8002,3-1 RNA I stock,,,,,,
8002,3-1 RNA I,7.71E+05,1.54E+05,1,30,4.63E+06,4.00E+00
8002,3-2 RNA I,2.78E+04,5.56E+03,1,30,1.67E+05,0.00E+00
8002,3-3 RNA I,1.49E+04,2.98E+03,1,30,8.94E+04,1.60E+00
8002,3-4 RNA I,3.62E+05,7.24E+04,1,30,2.17E+06,2.30E+00
8002,3-5 RNA I,4.86E+04,9.72E+03,1,30,2.92E+05,2.10E+00
8002,3-6 RNA I,4.61E+01,9.22E+00,1,30,2.77E+02,2.10E+00
8002,3-7 RNA I,1.83E+04,3.66E+03,1,30,1.10E+05,0.00E+00
8002,3-8 RNA I,2.47E+04,4.94E+03,1,30,1.48E+05,0.00E+00
8003,4-3 RNA c stock,,,,,,
8003,4-3 RNA c,8.19E+05,1.64E+05,1,30,4.91E+06,4.50E+00
8003,4-4 RNA c,1.30E+07,2.60E+06,1,30,7.80E+07,4.20E+00
8003,4-5 RNA c,3.58E+05,7.16E+04,1,30,2.15E+06,2.60E+00
8003,4-6 RNA c,4.03E+07,8.06E+06,1,30,2.42E+08,4.50E+00
8003,4-7 RNA c,3.61E+07,7.22E+06,1,30,2.17E+08,4.20E+00
8003,4-8 RNA c,4.48E+05,8.96E+04,1,30,2.69E+06,0.00E+00
8003,4-9 RNA c,1.57E+01,3.14E+00,1,30,9.42E+01,0.00E+00
8003,4-10 RNA c,1.03E+01,2.06E+00,1,30,6.18E+01,0.00E+00
8003,5-3 RNA c stock,,,,,,
8003,5-3 RNA c,1.79E+01,3.58E+00,1,30,1.07E+02,0.00E+00
8003,5-4 RNA c,1.42E+02,2.84E+01,1,30,8.52E+02,0.00E+00
8003,5-5 RNA c,8.64E+01,1.73E+01,1,30,5.18E+02,0.00E+00
8003,5-6 RNA c,3.63E+04,7.26E+03,1,30,2.18E+05,3.30E+00
8003,5-7 RNA c,1.40E+07,2.80E+06,1,30,8.40E+07,4.10E+00
8003,5-8 RNA c,8.90E+04,1.78E+04,1,30,5.34E+05,2.20E+00
8003,5-9 RNA c,3.10E+05,6.20E+04,1,30,1.86E+06,1.00E+00
8003,5-10 RNA c,2.96E+04,5.92E+03,1,30,6.00E+00,0.00E+00
8003,6-3 RNA c stock,,,,,,
8003,6-3 RNA c,2.14E+01,4.28E+00,1,30,1.28E+02,0.00E+00
8003,6-4 RNA c,8.25E+00,1.65E+00,1,30,4.95E+01,0.00E+00
8003,6-5 RNA c,1.97E+06,3.94E+05,1,30,1.18E+07,3.30E+00
8003,6-6 RNA c,4.42E+01,8.84E+00,1,30,2.65E+02,3.10E+00
8003,6-7 RNA c,8.64E+01,1.73E+01,1,30,5.18E+02,2.40E+00
8003,6-8 RNA c,5.46E+06,1.09E+06,1,30,3.28E+07,3.50E+00
8003,6-9 RNA c,-,,1,30,,2.60E+00
8003,6-10 RNA c,2.81E+01,5.62E+00,1,30,1.69E+02,0.00E+00